COMMON	ATM	ATR	BAP1	BLM	BRCA1	BRCA2	BRIP1	CDK12	CENPA	CENPK	CENPL	CENPM	CENPN	CENPU	CENPW	CHEK1	CHEK2	FANCA	FANCC	FANCD2	FANCE	FANCF	HJURP	MRE11	NDC80	NLRP2	NUF2	OIP5	PALB2	RAD51B	RAD51C	RAD51D	SPC24	SPC25	TP53	WRN	ZWINT	
TCGA-A2-A1FZ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0798	-0.7051	-0.7077	-0.6194	-0.6102	-0.2592	0.006	-0.8226	-0.0625	-0.406	-0.8545	-0.1009	-0.0811	-0.7194	
TCGA-B6-A0IH-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0965	-1.1043	-0.5777	-1.0767	-1.0924	0.6395	-0.235	-0.6101	-1.1204	-1.0393	-1.3615	-0.3636	1.1434	-1.1539	
TCGA-D8-A1JD-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1462	-0.2097	-0.7842	1.2493	0.1321	2.1267	-0.0818	0.8551	0.0624	1.5518	0.7718	-1.1392	-0.8482	2.4051	
TCGA-A2-A0YG-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.864	1.5804	1.1687	7.0055	0.1258	2.4276	1.9271	-0.7146	-1.0613	1.1077	1.2998	-1.8828	1.6116	-0.3033	
TCGA-C8-A138-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3495	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7115	1.0491	-0.7677	1.886	1.1995	-0.5076	-0.0243	-0.4993	0.6289	-0.7129	-0.2772	-1.5125	-1.3766	-0.1065	
TCGA-C8-A12W-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4769	-0.0196	5.2663	0.5399	1.2722	0.9897	-0.342	1.2989	1.4309	1.3226	-0.1182	0.6477	-0.7489	0.3581	
TCGA-B6-A0I2-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.681	0.5223	2.0017	0.9338	1.0982	0.5791	0.0136	-1.1038	-0.7791	0.8578	-1.0359	-1.9053	-1.7473	0.3864	
TCGA-E2-A1L7-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8405	5.1153	-0.7722	3.8633	1.547	-0.2889	-0.5719	1.0912	-0.2324	2.608	2.2825	1.4192	-0.9206	3.0205	
TCGA-A8-A086-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.0013	0.5076	0.9399	-0.1453	0.4326	1.1991	-0.0213	0.8514	0.3017	-0.3542	0.4785	-0.3543	-0.7457	0.0641	
TCGA-A8-A07U-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3911	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2528	0.6665	-0.7408	6.7219	-0.0656	-0.6594	-0.3559	-0.6099	-0.5789	-0.1382	0.626	-1.1804	0.016	-0.6329	
TCGA-E2-A1LB-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8164	-0.0236	-0.7863	-0.6994	-0.093	-1.1958	-0.2657	0.4415	-1.9738	-0.2073	-0.6067	0.6886	-0.0562	0.324	
TCGA-E2-A1II-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6124	1.1542	5.9068	2.0295	1.5117	0.6927	-0.3839	-0.3461	-0.1064	0.9687	-0.1999	0.7761	0.6863	0.5927	
TCGA-D8-A145-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6954	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0989	-0.7205	-0.7061	-0.7088	-0.7113	1.2856	0.33	-0.8751	0.0177	-0.5136	-1.0584	-0.5349	1.1319	-0.879	
TCGA-AR-A24M-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6743	-0.6618	0.0679	-0.3242	-0.4571	0.1893	0.2561	-0.666	-0.1283	-0.7631	-0.6828	-0.5179	0.1828	-0.6125	
TCGA-BH-A0DE-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9313	-0.7426	-0.7421	-0.4906	-0.6321	1.2277	-0.1926	-0.4556	0.1905	-0.7906	-0.9336	-1.0485	-0.3332	-0.6382	
TCGA-EW-A1PD-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1784	0.6306	0.3972	0.2861	-0.7192	0.1743	-0.3783	1.2935	4.7852	1.9192	0.598	-0.4933	2.2341	0.4694	
TCGA-A2-A0SU-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.224	-0.1888	0.0833	-0.2919	-0.6725	1.7015	0.115	5.5404	-0.3337	-0.6719	-0.3101	-0.5266	-0.5702	-0.645	
TCGA-A2-A0T6-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3157	-1.0249	0.1697	-1.0528	-1.0702	-0.0394	-0.2485	-0.8184	-0.8226	-0.9249	-1.314	-0.4673	0.6295	-1.1527	
TCGA-C8-A12L-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7762	1.4058	1.2734	2.9927	1.0107	2.2438	-0.4802	0.7121	0.5599	5.7658	0.6784	1.3636	-0.279	1.2577	
TCGA-C8-A27A-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5822	4.1411	-0.801	4.6244	1.2427	3.1175	0.1468	0.6885	3.5946	-0.0937	1.7384	0.4	-0.1917	1.0205	
TCGA-BH-A18V-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1577	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.1202	1.9124	1.1736	5.1187	2.6673	4.4541	-0.1616	-0.9695	-0.4416	1.8348	1.7349	-1.5756	0.6937	1.1114	
TCGA-AR-A1AK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0841	-0.3941	0.4358	0.2626	-0.2235	1.6907	-0.3205	1.7764	1.2337	0.1737	-0.7284	-0.4067	-0.1905	-0.9052	
TCGA-A7-A13F-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.6224	0.2592	-0.8112	0.9052	1.3271	0.4819	-0.3545	1.4372	1.5798	1.2661	1.6475	0.1434	0.708	1.9956	
TCGA-E2-A14N-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.3123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.496	3.051	5.3073	5.7621	3.0731	-0.1796	1.3517	0.4134	0.6168	-0.2931	3.2291	-1.8859	-1.0487	-0.243	
TCGA-BH-A0H9-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1928	-0.2219	0.6884	0.1667	-0.1838	0.12	0.0619	-0.7502	0.4987	-0.1057	-0.6306	0.1379	-0.0307	-0.4791	
TCGA-B6-A0RV-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3796	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3855	-0.304	-0.8112	-0.2944	0.0345	-0.4805	-0.2803	-0.5617	-1.246	0.3442	-0.2099	-0.1428	-0.9286	0.4424	
TCGA-AR-A1AV-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1548	-0.8125	-0.0512	0.2944	-0.5664	3.2092	-0.1765	0.4394	0.1418	-0.6035	-0.6027	0.1145	0.3706	-0.7105	
TCGA-EW-A1OX-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2922	-0.7386	-0.8117	-0.4415	-0.4511	0.1097	-0.556	1.5825	0.919	-0.5798	-0.9926	-0.7905	-0.2527	-0.0702	
TCGA-E2-A14Y-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.9602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9914	3.0976	1.0063	2.6236	2.1273	0.1913	-0.323	0.1149	-2.3031	-0.3426	0.1945	-0.1775	-1.1691	1.162	
TCGA-A1-A0SN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.434	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.286	-0.0546	0.7201	0.6962	0.8806	-0.0752	-0.4523	17.6481	-0.2961	1.291	0.3987	0.1258	0.1769	-0.1695	
TCGA-D8-A1XT-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2182	0.3697	0.4827	0.1916	-0.0795	2.3099	-0.3034	0.1403	-0.8154	0.0524	0.5549	0.4176	1.5059	0.3732	
TCGA-AO-A1KP-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8021	0.5669	-0.804	1.5717	0.4397	3.9755	0.1418	1.069	-1.1702	-0.9116	3.222	2.7087	-1.0439	0.2757	
TCGA-AN-A0AK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.2471	0.9191	-0.7983	3.53	1.6165	0.247	-0.4928	-0.7445	2.128	1.8469	0.5892	2.2304	1.6176	1.7884	
TCGA-E2-A1IG-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0511	-0.5905	1.1144	-0.0701	-0.5516	0.0649	-0.4163	-0.0591	1.9747	-0.547	-0.9418	-0.7482	-1.0907	-0.5464	
TCGA-A8-A094-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3271	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9529	0.0884	-0.5348	0.6872	2.2437	-0.3076	-0.2394	-0.3933	-0.612	-0.4961	1.5316	-2.0402	2.9896	2.7857	
TCGA-A8-A08S-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.955	0.2301	0.0358	0.1948	0.0845	0.9095	-0.0636	1.3967	0.7869	-0.5651	0.0565	-0.2833	-1.0177	0.4982	
TCGA-A2-A04Y-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0762	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2783	0.9386	2.1166	1.7498	0.1632	-0.4043	-0.3958	2.4299	-0.9564	-0.4709	0.7225	-0.3815	-1.2641	0.6065	
TCGA-OL-A66K-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6674	-0.7949	1.1534	-0.445	-0.6642	0.388	-0.3408	1.1936	0.4068	-0.7615	-0.482	-0.1428	-0.2634	-0.9955	
TCGA-AR-A24K-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.209	0.4306	-0.8096	1.5668	0.5107	4.7338	-0.3963	1.3588	0.8728	0.6154	0.0668	-2.0139	1.3284	0.7123	
TCGA-E9-A1R6-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4063	-0.9799	-0.8075	-0.6997	0.0604	2.2185	-0.3839	0.6924	1.6219	0.3757	-0.2214	-0.4696	0.3157	0.0588	
TCGA-E2-A15E-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4699	-0.4689	0.7069	-0.5882	-0.6688	0.9683	0.0443	-0.0979	-0.3444	-0.3972	-0.8114	-0.0093	3.1628	-0.5255	
TCGA-BH-A1FC-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.7383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.1264	7.6386	-0.6162	9.8468	1.7544	1.606	-0.2442	1.3201	6.2583	3.455	0.1142	-1.8416	-0.1221	0.4444	
TCGA-D8-A1J9-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1947	0.0259	-0.8007	0.3006	-0.2551	3.7876	-0.2753	0.2749	-0.7937	-0.2206	0.0637	-0.7819	-0.6484	-0.0316	
TCGA-AR-A2LH-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6804	0.3034	-0.8041	-0.3833	0.5187	0.1318	-0.2864	-0.8718	-0.7136	-0.2999	-0.2113	-0.2301	-0.4126	0.0761	
TCGA-C8-A134-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2775	1.5747	-0.7794	2.3582	1.6996	2.1987	-0.0391	1.357	-0.4792	3.9442	2.6972	0.3156	-0.4026	1.4933	
TCGA-E2-A2P5-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6369	1.1207	2.7508	1.1469	0.2922	-0.1855	0.1295	-0.5553	-0.9822	0.8713	0.384	1.4368	-1.3007	2.0588	
TCGA-A7-A0CJ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0077	-0.6813	-0.7503	0.6058	0.0636	1.4895	-0.2087	1.9331	-2.5307	1.0232	-0.0927	-0.2545	-1.0735	-0.8627	
TCGA-A8-A08H-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1998	0.2378	-0.5708	-0.1547	-0.2801	-0.2349	-0.1087	-0.4802	0.8314	0.895	0.0128	-0.9467	0.712	-0.4813	
TCGA-BH-A0W5-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4633	-0.6521	-0.7032	-0.7453	-0.7768	2.3241	-0.0712	-0.5188	0.523	-0.7002	-0.8273	0.0444	-0.3374	-0.9291	
TCGA-E2-A1LK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1222	0.7162	-0.8109	1.8376	0.501	0.1247	0.5213	-0.0351	1.65	-0.61	0.0795	-2.0339	-1.0971	-0.7298	
TCGA-BH-A1F8-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.0707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4767	-0.2029	-0.808	-0.2493	1.594	1.6728	-0.1887	1.4121	0.9072	-0.7997	1.5658	-0.1894	0.9651	0.4663	
TCGA-BH-A1EW-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.497	-0.5975	0.2215	0.4288	-0.4674	2.2398	-0.2143	0.9934	-0.5436	-0.4595	-0.2733	-0.3869	-0.62	-0.4887	
TCGA-D8-A27G-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2447	-0.4633	-0.783	0.0716	-0.195	0.3535	-0.3876	3.8534	-1.3981	0.0084	-0.5825	-1.2999	-0.1135	-0.1029	
TCGA-E2-A15P-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4021	-0.6988	0.9855	-0.8481	-0.5795	1.2321	0.4595	3.2178	0.4884	-0.442	-0.8448	-0.153	0.8068	-1.1062	
TCGA-A7-A4SD-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1947	1.1365	7.0467	2.1969	0.3132	-0.8014	-0.0209	-0.8321	-0.1874	0.6279	0.1525	0.9539	1.6365	0.5558	
TCGA-BH-A0DT-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.366	-0.4692	0.9313	-0.2366	-0.8676	1.1686	-0.0518	-0.785	-0.6904	-0.7989	-0.5583	1.0262	1.231	-0.7354	
TCGA-GM-A4E0-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0835	-0.9975	-0.6751	-0.8585	-1.116	-1.0144	-0.3911	-1.0755	0.3541	-0.8623	-1.3041	-0.8387	-1.3976	-1.1337	
TCGA-A7-A4SB-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.9559	-0.7122	-0.8001	-0.0532	-0.5232	-0.3181	-0.5126	-0.5818	-0.7085	-0.3603	-0.4332	-1.4023	-1.0791	-0.26	
TCGA-BH-A0DI-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.3836	-0.6449	1.829	-0.7936	-0.7878	-0.5632	0.1449	0.3158	0.4041	-0.3665	-0.9479	-0.8472	-0.5782	-0.8548	
TCGA-A2-A0EN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7908	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5292	-0.8907	-0.8002	-0.7728	-0.9722	-0.3155	-0.258	-0.6244	-0.6714	-0.4785	-0.4756	-0.3776	-0.0309	-0.9393	
TCGA-GM-A2DI-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4628	-0.5821	-0.7692	-0.819	-0.3518	0.875	-0.0374	-1.0807	-0.9343	-0.596	-0.691	-1.5634	0.1131	-0.6919	
TCGA-LL-A5YM-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.0617	-0.1056	1.2906	0.1906	0.8027	-2.1617	-0.0932	2.3883	0.7267	0.9455	0.791	-1.1174	-1.6435	-0.5121	
TCGA-D8-A1JK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.9636	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4151	0.5047	-0.7355	0.319	1.0746	0.6483	0.1518	0.717	-1.4716	1.7432	0.0699	-1.7633	-1.4314	-0.4305	
TCGA-AR-A0TS-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6578	2.1448	5.4863	2.1202	-0.2141	1.9855	0.172	-0.0501	2.4515	-0.1869	0.3385	-1.4663	0.5078	-0.6288	
TCGA-AN-A0FX-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4737	0.4523	-0.1249	1.2142	-0.1246	-1.1894	0.0007	0.2513	-0.168	1.4227	-0.2096	1.3691	0.5561	0.1795	
TCGA-A2-A0T2-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9562	0.346	-0.6536	0.1183	0.394	0.0875	0.9095	-0.533	-0.6689	-0.2946	-0.6597	0.281	0.1368	-0.2683	
TCGA-A7-A0DA-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0932	-0.1732	-0.8103	2.0705	-0.2039	-1.3731	0.8367	-0.8731	-0.8278	-0.501	-0.7032	0.6891	-0.1589	-1.2445	
TCGA-E9-A1RH-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4811	2.4444	-0.8007	0.2683	1.1738	2.2412	-0.1197	0.8386	-0.901	0.3745	0.2131	-1.3145	-0.7802	3.1451	
TCGA-E9-A1NF-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5481	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5677	0.8581	0.0804	-0.0502	-0.041	0.1561	-0.2472	0.4012	-0.6147	-0.3048	-0.23	-0.2038	-0.4126	-0.6634	
TCGA-BH-A1FE-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8338	0.2476	2.4276	0.0324	0.3392	1.8643	-0.1807	0.1527	0.0733	-0.7203	0.4002	-0.242	1.2558	-0.0106	
TCGA-A8-A082-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9941	0.521	-0.6774	0.8674	-0.541	0.5531	-0.4653	0.1259	0.1763	1.1118	1.2308	-0.3417	-1.1066	1.7207	
TCGA-E9-A244-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5911	3.844	3.6346	3.4736	2.363	0.9339	4.8274	2.287	-1.2543	-0.2925	-0.0775	2.1707	-1.6197	-0.1699	
TCGA-AN-A0AT-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.3405	5.4913	-0.1944	3.0745	1.7589	-0.3517	1.2563	1.8315	0.1911	5.2433	3.2368	-1.9671	-0.6096	0.6114	
TCGA-A8-A08J-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.787	-0.1436	-0.1699	-0.0025	-0.4058	-0.7417	-0.0168	2.7391	2.7948	-0.1428	0.5092	-0.9984	-1.2547	0.4242	
