COMMON	ATM	ATR	BAP1	BLM	BRCA1	BRCA2	BRIP1	CDK12	CENPA	CENPK	CENPL	CENPM	CENPN	CENPU	CENPW	CHEK1	CHEK2	FANCA	FANCC	FANCD2	FANCE	FANCF	HJURP	MRE11	NDC80	NLRP2	NUF2	OIP5	PALB2	RAD51B	RAD51C	RAD51D	SPC24	SPC25	TP53	WRN	ZWINT	
TCGA-BH-A18M-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0586	-0.4507	0.7792	-0.7088	-0.3268	1.5108	-0.1534	-0.3418	0.1348	-0.5461	-0.55	1.2828	-0.1528	-0.3932	
TCGA-GI-A2C8-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7873	-1.0647	-0.7874	-1.102	-1.1757	0.9046	-0.3915	-1.4	-1.2487	-0.986	-1.3414	-1.8049	-0.2497	-1.327	
TCGA-E2-A158-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2037	-0.3384	-0.8102	0.8317	-0.1356	3.28	6.0858	-0.3495	-0.9098	-0.3789	-0.153	0.4329	2.7392	-0.6187	
TCGA-E2-A14W-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.9713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5102	0.4156	1.1354	0.3437	0.1441	-1.3324	-0.3411	3.3874	-1.4524	-0.9099	0.4629	-0.5308	-1.3485	0.3833	
TCGA-D8-A1XV-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6308	0.0192	-0.8072	2.1806	-0.7365	-0.0029	-0.3908	0.4423	-0.2894	-0.5718	-0.8213	-0.3711	0.7408	-0.4628	
TCGA-EW-A1OZ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3916	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8512	-0.1955	-0.8057	0.2829	0.3785	1.4531	-0.2362	2.1619	-1.0871	0.5936	-0.0623	-1.1528	-1.7198	-0.1418	
TCGA-AN-A0FK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.6591	-0.2923	0.6651	9.2342	-0.4767	0.1325	-0.5211	-0.4389	-0.4685	-0.1685	-0.092	2.0802	0.0851	-0.1073	
TCGA-A8-A09C-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.2264	-0.2036	0.73	0.3669	-0.4174	0.8421	0.0975	-0.4367	6.0268	-0.3506	-0.1254	1.3389	1.5581	0.1992	
TCGA-A2-A0CQ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7514	-0.0462	-0.7894	0.1464	-0.3303	-0.327	0.2562	-0.3759	-0.7869	-0.3822	-0.083	0.5249	-1.0964	-0.2434	
TCGA-A2-A0D2-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6999	6.557	6.0186	3.3265	2.6538	0.687	-0.281	1.1566	0.0023	3.6583	2.5794	-1.6022	-0.3456	2.9245	
TCGA-AC-A3TN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.6216	-0.8679	0.2371	0.06	-0.509	-1.3383	-0.009	1.1655	-0.6442	-0.6033	-0.1015	-1.2439	-2.0613	-0.8825	
TCGA-B6-A0IQ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3905	3.5837	-0.8	15.163	3.2751	1.1375	-0.2968	-0.132	-0.9841	1.125	1.5481	-1.5381	0.1906	11.797	
TCGA-A8-A096-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3413	-0.0619	-0.7166	-0.2024	-0.1612	-0.0453	-0.1752	-0.3265	0.5704	1.1338	-0.2865	0.269	-0.0756	0.1192	
TCGA-AN-A0AM-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4248	-0.1681	0.447	1.1961	0.2504	0.8094	-0.3026	0.7339	-1.1955	-0.0513	-0.0869	0.2529	-1.1475	-0.3626	
TCGA-A2-A25D-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1384	-0.644	-0.7414	-0.0883	0.1851	-0.7665	-0.1924	3.1344	0.3309	0.0936	-0.132	-0.9458	-1.3049	-0.368	
TCGA-AC-A3YI-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1844	-1.0531	-0.8045	-0.9417	-0.9497	-0.3518	-0.4357	-0.6583	-0.5101	-1.0167	-1.0194	-0.101	1.3157	-0.9952	
TCGA-BH-A0HK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4626	-0.8099	-0.7926	-0.3578	-0.3237	-0.5519	-0.3215	-0.1753	-1.7285	-0.7993	-0.8565	-0.7006	-0.8633	-0.8497	
TCGA-B6-A0RI-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2502	0.5505	0.2291	0.6045	-0.0051	0.4272	-0.1381	-0.605	0.3068	1.3185	0.4525	-0.6991	-0.5983	0.3105	
TCGA-A2-A259-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8571	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2371	-0.8507	-0.1664	-0.8237	-0.8343	2.111	-0.2006	0.7633	0.681	-0.9632	-1.08	2.7798	0.2614	-0.9643	
TCGA-B6-A0X0-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0242	-0.5084	0.377	-0.2287	-0.1146	2.2166	-0.2697	-0.6927	-0.3035	0.3055	-0.2979	3.4001	-1.5149	-0.4267	
TCGA-E2-A15C-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8521	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4494	-0.7366	-0.0458	-0.9188	-0.7165	5.0765	-0.0026	-0.8243	-1.4169	-0.9531	-1.041	-0.038	-0.8005	-1.0241	
TCGA-D8-A27T-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5937	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3352	-0.2806	-0.7958	-0.1505	-0.2478	0.6839	-0.1777	-1.1917	1.0493	0.3499	-0.0705	-0.5577	0.8289	-0.6206	
TCGA-A8-A09N-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6249	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0209	0.0066	2.3537	-0.3954	0.0919	0.4786	-0.3814	-0.3352	-0.9549	0.0646	2.4615	0.5305	-0.9099	1.8319	
TCGA-AC-A3OD-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5573	-0.274	0.2254	0.3228	-0.8408	0.688	0.1967	0.052	0.3238	0.5778	-0.4635	-1.6751	0.228	-0.3086	
TCGA-A2-A04P-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.485	1.8206	-0.2658	1.8222	0.3794	-0.0581	8.854	-0.4674	-1.5742	-0.4041	1.1017	-1.8328	-1.1512	0.7539	
TCGA-EW-A1J1-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0942	-0.7382	-0.1657	-0.19	-0.6274	0.0561	-0.4482	-0.0487	0.3158	-0.6695	-0.8243	-0.904	1.0291	-0.6125	
TCGA-D8-A1X5-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3823	-0.7348	-0.8092	-0.3388	-0.619	1.998	-0.1941	0.5575	-0.7874	-0.4888	-0.631	-0.4495	-0.8266	-0.7631	
TCGA-BH-A0H5-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4782	-0.4245	1.7347	-0.5459	-0.5589	-0.0164	-0.0767	-0.3865	-0.0614	-0.2097	-0.7005	0.0928	-0.2068	-0.6176	
TCGA-E2-A1B6-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2419	2.8893	0.3506	2.8335	2.4756	0.0906	-0.1147	2.6917	-1.0178	-0.0716	0.9895	-0.1484	-0.8947	0.7235	
TCGA-AR-A1AR-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.3375	3.9713	1.1697	4.0052	1.3405	0.4346	-0.1067	-0.4734	-1.0931	0.0463	2.2748	-1.5455	1.3995	0.8411	
TCGA-A8-A0A7-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0192	0.2705	3.5432	-0.0318	-0.5945	-0.432	-0.3696	0.363	-1.4122	-0.6706	0.543	-0.6983	-1.0063	-0.3139	
TCGA-BH-A0BW-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2936	1.2712	0.864	1.2859	-0.021	0.1871	-0.2639	0.9956	3.3963	-0.1608	0.2093	-1.8225	1.1664	-0.5657	
TCGA-E9-A1NH-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.163	-0.827	-0.7844	-0.5804	-0.5592	1.3185	-0.2566	-0.7389	-0.9256	-0.8188	-0.9881	0.4205	-0.7273	-0.8665	
TCGA-D8-A3Z6-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2082	-0.9816	-0.8013	-0.6539	-0.9157	-0.1326	0.1135	-0.8317	-0.6069	-0.3644	-0.8964	0.036	-1.419	0.0707	
TCGA-A8-A09A-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.6868	-0.1129	-0.0344	-0.1625	-0.5145	0.9959	-0.4227	1.5472	-0.5924	-0.7335	-0.5004	-1.0576	5.2962	-0.5092	
TCGA-E2-A14U-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7338	-1.1495	0.2341	-1.1365	-1.091	0.0183	0.254	-0.172	-0.5416	-0.9912	-1.3391	0.1754	-1.0698	-1.2362	
TCGA-E2-A156-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4941	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9644	-0.7092	-0.8117	-0.7321	-0.4666	4.1291	-0.0274	0.4083	0.3929	-0.5091	-0.6565	0.2031	0.4781	-0.2478	
TCGA-E9-A22A-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5689	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8251	0.8375	2.6605	1.008	0.2151	-0.6755	-0.3677	4.1598	-1.3898	-0.3939	0.8806	0.4106	-1.0716	0.2179	
TCGA-E9-A226-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2695	-0.3144	-0.8018	1.2768	-0.0788	2.5286	-0.397	-0.3517	-2.0061	-0.9296	0.0952	-1.8991	-1.0936	-0.6463	
TCGA-A2-A0D4-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.9077	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4295	0.5075	0.1398	4.6356	0.2455	-0.5942	-0.5344	-1.2561	-0.7433	0.8432	3.209	-0.9421	-1.2287	2.0909	
TCGA-A2-A0CS-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2096	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0732	-0.7205	-0.7815	-0.7173	-0.1869	0.9207	3.5636	0.1579	-0.8147	-0.7692	-0.4589	1.1876	-0.7332	-1.014	
TCGA-B6-A0RG-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.5674	0.1814	0.6718	0.8159	0.1904	-1.0666	-0.3003	0.4599	-0.181	-0.1644	-0.0304	-0.3359	-1.5705	-0.008	
TCGA-LL-A440-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.795	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6512	-0.7949	-0.5364	-0.75	-0.8446	-1.0319	-0.1024	-0.6281	0.3094	-0.6089	-0.9215	-0.6717	-0.4459	-0.9636	
TCGA-AR-A2LO-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2493	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2698	-0.4427	-0.7415	0.0798	-0.4612	1.1017	-0.2353	-0.6318	1.5314	0.1244	0.0545	0.9018	0.8227	-0.8312	
TCGA-E9-A1RF-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9405	-0.5542	2.4388	0.2003	-0.8364	-0.0854	-0.2474	1.0128	-1.868	-0.5208	-0.5923	-1.5306	-0.8285	-0.5901	
TCGA-AN-A0FV-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4305	-0.2341	-0.8095	0.0363	-0.5665	0.5359	-0.5273	1.5756	-0.496	-0.627	-0.3689	0.5915	-0.0743	0.9751	
TCGA-D8-A1XK-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2305	3.9003	-0.7273	6.2617	3.1439	1.4691	-0.2575	-0.16	-0.1783	4.533	5.4803	1.6874	2.3754	3.9938	
TCGA-D8-A27R-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.3922	-0.0503	-0.5366	0.5466	1.3596	1.0528	-0.3968	0.6649	2.1305	-0.789	0.9132	-0.9849	-1.2382	-0.1107	
TCGA-E2-A15A-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0421	0.0743	0.5279	0.6083	0.8255	0.3906	-0.445	-0.5562	1.8423	-0.6996	-0.0059	-0.8845	-0.031	0.6194	
TCGA-A8-A08L-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.427	0.34	-0.7707	2.279	-0.1106	1.365	-0.2991	3.7564	1.6047	1.9983	1.8732	-1.8769	1.121	0.1643	
TCGA-BH-A0DP-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5394	-0.6049	-0.2409	-0.635	-0.7278	1.3802	0.3701	-0.6699	0.7239	-0.4795	-0.9001	-0.3321	0.4425	-0.6779	
TCGA-BH-A0E1-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4948	1.7944	0.2578	2.686	0.6606	-0.8889	-0.4456	0.2745	-0.4825	2.1117	1.9957	-0.2949	-0.1117	2.0429	
TCGA-E2-A15L-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2756	0.0419	0.5853	0.5148	0.1094	0.2652	-0.1917	0.005	0.5455	0.7584	1.2432	0.1095	0.4146	0.9266	
TCGA-E2-A10F-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4868	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3282	-0.3341	0.0296	0.1339	-0.4541	2.3446	-0.1729	-0.3472	0.775	-0.0419	-0.0034	-0.363	-0.0845	-0.3724	
